link,Código do fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,Dividend Yield ,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) Média,DY (6M) Média,DY (12M) Média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líq.,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. no Período,Rentab. Patr. Acumulada,Vacância Física,Vacância Financeira,Quantidade Ativos
/funds/cbop11,CBOP11,Lajes Corporativas,"R$ 82,00",967.0,"R$ 0,52","0,63%","1,99%","3,95%","7,90%","0,66%","0,66%","0,66%","5,26%","1,26%","1,90%","18,39%","R$ 111.610.318,03","R$ 78,88","1,04","0,66%","0,01%","0,67%","4,63%","6,87%","6,91%",1
/funds/hgbs11,HGBS11,Shoppings,"R$ 254,99",26006.0,"R$ 1,40","0,55%","1,88%","3,52%","7,02%","0,63%","0,59%","0,59%","4,67%","1,63%","2,19%","12,01%","R$ 1.454.334.163,37","R$ 216,46","1,18","0,65%","-3,06%","-2,44%","1,24%","4,79%",N/A,10
/funds/grlv11,GRLV11,Logística,"R$ 118,70",318.0,"R$ 0,64","0,54%","2,01%","3,72%","7,79%","0,67%","0,62%","0,65%","4,85%","-0,24%","0,29%","27,84%","R$ 116.769.475,78","R$ 108,77","1,09","0,59%","-0,01%","0,58%","1,73%","9,10%","10,00%",1
/funds/hglg11,HGLG11,Logística,"R$ 152,77",31436.0,"R$ 0,75","0,49%","1,47%","2,89%","6,15%","0,49%","0,48%","0,51%","3,90%","-4,43%","-3,96%","9,17%","R$ 1.510.735.871,91","R$ 127,14","1,20","0,59%","4,87%","5,49%","9,67%","6,50%","9,70%",14
/funds/hgre11,HGRE11,Lajes Corporativas,"R$ 150,50",36081.0,"R$ 0,74","0,49%","1,40%","2,83%","5,88%","0,47%","0,47%","0,49%","3,83%","-9,17%","-8,73%","7,75%","R$ 1.123.112.863,31","R$ 152,12","0,99","0,49%","0,48%","0,97%","3,66%","18,94%","18,81%",20
/funds/hgcr11,HGCR11,Títulos e Val. Mob.,"R$ 120,00",14717.0,"R$ 0,74","0,62%","1,87%","3,72%","7,95%","0,62%","0,62%","0,66%","5,00%","3,40%","4,04%","6,08%","R$ 615.631.228,49","R$ 105,14","1,14","0,70%","0,22%","0,93%","5,26%",N/A,N/A,0
/funds/foft11,FOFT11,Títulos e Val. Mob.,"R$ 95,49",2472.0,"R$ 0,56","0,59%","2,01%","3,95%","7,99%","0,67%","0,66%","0,67%","5,10%","-0,53%","0,05%","6,26%","R$ 120.373.919,50","R$ 100,64","0,95","0,53%","0,89%","1,42%","10,38%",N/A,N/A,0
/funds/tfof11,TFOF11,Títulos e Val. Mob.,"R$ 144,00",216.0,"R$ 1,27","0,88%","4,36%","8,06%","14,28%","1,45%","1,34%","1,19%","9,14%","-2,69%","-1,83%","21,30%","R$ 108.459.161,42","R$ 127,52","1,13","0,74%","0,53%","1,28%","7,09%",N/A,N/A,0
/funds/domc11,DOMC11,Lajes Corporativas,"R$ 515,01",257.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 242.075.775,74","R$ 990,57","0,52",N/A,N/A,N/A,N/A,"23,44%",N/A,1
/funds/vrta11,VRTA11,Títulos e Val. Mob.,"R$ 134,60",34233.0,"R$ 0,85","0,63%","1,93%","4,15%","9,41%","0,64%","0,69%","0,78%","5,74%","-12,48%","-11,93%","14,67%","R$ 232.035.217,25","R$ 103,50","1,30","0,91%","0,73%","1,64%","8,62%",N/A,N/A,0
/funds/brcr11,BRCR11,Híbrido,"R$ 94,40",30448.0,"R$ 0,40","0,41%","1,29%","2,87%","14,63%","0,43%","0,48%","1,22%","13,21%","-1,03%","-0,62%","-13,23%","R$ 2.135.066.733,60","R$ 111,06","0,85",N/A,N/A,N/A,N/A,"15,90%","10,50%",11
/funds/famb11b,FAMB11B,Lajes Corporativas,"R$ 2.999,90",171.0,"R$ 28,98","0,97%","2,86%","6,46%","15,00%","0,95%","1,08%","1,25%","8,82%","0,16%","1,13%","36,46%","R$ 338.826.126,58","R$ 3.233,07","0,93","0,92%","0,40%","1,32%","7,88%","0,00%",N/A,1
/funds/nvho11,NVHO11,Hospital,"R$ 22,70",162.0,"R$ 0,06","0,26%","0,67%","1,22%","2,38%","0,22%","0,20%","0,20%","1,61%","-15,61%","-15,39%","-23,03%","R$ 298.648.375,53","R$ 7,20","3,15","0,80%","0,06%","0,86%","5,98%",N/A,N/A,1
/funds/pqdp11,PQDP11,Shoppings,"R$ 3.060,50",28.0,"R$ 15,48","0,51%","1,36%","2,70%","5,68%","0,45%","0,45%","0,47%","3,20%","-9,88%","-9,42%","4,63%","R$ 701.946.131,82","R$ 2.943,45","1,04","0,53%","-0,04%","0,49%","3,53%","3,30%",N/A,1
/funds/prsv11,PRSV11,Lajes Corporativas,"R$ 400,01",166.0,"R$ 1,96","0,43%","1,31%","3,07%","6,05%","0,44%","0,51%","0,50%","3,61%","-0,02%","0,41%","37,00%","R$ 79.332.314,35","R$ 406,83","0,98","0,48%","0,00%","0,48%","3,46%","8,81%",N/A,2
/funds/tbof11,TBOF11,Lajes Corporativas,"R$ 86,11",306045.0,"R$ 0,30","0,34%","1,24%","2,23%","3,96%","0,41%","0,37%","0,33%","2,45%","5,80%","6,16%","8,87%","R$ 879.271.363,95","R$ 87,49","0,98","0,34%","-0,03%","0,31%","2,55%","23,50%",N/A,1
/funds/vlol11,VLOL11,Lajes Corporativas,"R$ 107,00",3849.0,"R$ 0,66","0,62%","1,38%","2,60%","4,98%","0,46%","0,43%","0,42%","3,40%","2,97%","3,61%","14,17%","R$ 152.388.828,99","R$ 85,38","1,25","0,46%","0,04%","0,50%","3,74%","7,00%",N/A,1
/funds/bbvj11,BBVJ11,Lajes Corporativas,"R$ 69,10",373.0,"R$ 0,33","0,61%","0,74%","0,94%","0,96%","0,25%","0,16%","0,08%","0,96%","19,24%","19,96%","-9,15%","R$ 156.836.211,70","R$ 57,87","1,19",N/A,N/A,N/A,N/A,"66,79%",N/A,1
/funds/bmlc11b,BMLC11B,Lajes Corporativas,"R$ 94,00",474.0,"R$ 0,33","0,35%","1,27%","2,64%","5,70%","0,42%","0,44%","0,48%","3,19%","5,11%","5,49%","22,44%","R$ 93.167.131,58","R$ 93,32","1,01","0,36%","0,03%","0,39%","2,57%","9,20%",N/A,2
/funds/bpff11,BPFF11,Títulos e Val. Mob.,"R$ 105,00",3270.0,"R$ 0,65","0,62%","2,07%","4,23%","8,16%","0,69%","0,70%","0,68%","5,48%","-0,38%","0,24%","14,70%","R$ 261.546.567,64","R$ 98,00","1,07","0,71%","-0,21%","0,50%","6,91%",N/A,N/A,0
/funds/cxce11b,CXCE11B,Outros,"R$ 2.340,00",44.0,"R$ 19,30","0,82%","2,41%","4,92%","10,24%","0,80%","0,82%","0,85%","6,63%","0,47%","1,30%","10,66%","R$ 144.758.935,16","R$ 2.112,71","1,11","0,92%","0,05%","0,97%","6,02%",N/A,N/A,1
/funds/cxtl11,CXTL11,Logística,"R$ 384,00",1.0,"R$ 1,18","0,31%","0,89%","1,49%","1,99%","0,30%","0,25%","0,17%","1,81%","-0,40%","-0,10%","-19,04%","R$ 37.843.906,83","R$ 706,08","0,54","0,14%","-0,04%","0,10%","0,96%",N/A,N/A,4
